doc_code	doc_title	source_kind	items_count	index_url	resolve_lite_url
bunshokaito_gensen	文書回答事例（源泉所得税）	bunshokaito	25	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_gensen/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_gensen.json
bunshokaito_gensenshotoku	文書回答事例（源泉所得税）	bunshokaito	7	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_gensenshotoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_gensenshotoku.json
bunshokaito_hojin	文書回答事例（法人税）	bunshokaito	188	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_hojin/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_hojin.json
bunshokaito_hyoka	文書回答事例（財産評価）	bunshokaito	4	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_hyoka/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_hyoka.json
bunshokaito_inshi	文書回答事例（印紙税）	bunshokaito	5	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_inshi/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_inshi.json
bunshokaito_inshi-sonota	文書回答事例（印紙税・その他）	bunshokaito	1	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_inshi-sonota/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_inshi-sonota.json
bunshokaito_joto-sanrin	文書回答事例（譲渡所得・山林所得）	bunshokaito	40	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_joto-sanrin/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_joto-sanrin.json
bunshokaito_shohi	文書回答事例（消費税）	bunshokaito	67	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_shohi/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_shohi.json
bunshokaito_shotoku	文書回答事例（所得税）	bunshokaito	157	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_shotoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_shotoku.json
bunshokaito_shozei	文書回答事例（諸税）	bunshokaito	7	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_shozei/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_shozei.json
bunshokaito_sonota	文書回答事例（その他の国税）	bunshokaito	5	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_sonota/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_sonota.json
bunshokaito_souzoku	文書回答事例（相続税）	bunshokaito	10	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_souzoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_souzoku.json
bunshokaito_sozoku	文書回答事例（相続税）	bunshokaito	13	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_sozoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_sozoku.json
bunshokaito_zouyo	文書回答事例（贈与税）	bunshokaito	2	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_zouyo/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_zouyo.json
bunshokaito_zoyo	文書回答事例（贈与税）	bunshokaito	12	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/bunshokaito_zoyo/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/bunshokaito_zoyo.json
shitsugi_gensen	質疑応答事例（源泉所得税）	shitsugi	153	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_gensen/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_gensen.json
shitsugi_hojin	質疑応答事例（法人税）	shitsugi	307	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hojin/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_hojin.json
shitsugi_hotei	質疑応答事例（法定調書）	shitsugi	1	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hotei/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_hotei.json
shitsugi_hyoka	質疑応答事例（財産の評価）	shitsugi	172	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_hyoka/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_hyoka.json
shitsugi_inshi	質疑応答事例（印紙税）	shitsugi	243	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_inshi/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_inshi.json
shitsugi_joto	質疑応答事例（譲渡所得）	shitsugi	255	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_joto/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_joto.json
shitsugi_shohi	質疑応答事例（消費税）	shitsugi	272	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shohi/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_shohi.json
shitsugi_shotoku	質疑応答事例（所得税）	shitsugi	261	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_shotoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_shotoku.json
shitsugi_sozoku	質疑応答事例（相続税・贈与税）	shitsugi	129	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/shitsugi_sozoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/shitsugi_sozoku.json
taxanswer_fufuku	タックスアンサー（不服申立て）	taxanswer	2	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_fufuku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_fufuku.json
taxanswer_gensen	タックスアンサー（源泉所得税）	taxanswer	66	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_gensen/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_gensen.json
taxanswer_hojin	タックスアンサー（法人）	taxanswer	106	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_hojin/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_hojin.json
taxanswer_hotei	タックスアンサー（法定調書）	taxanswer	14	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_hotei/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_hotei.json
taxanswer_hyoka	タックスアンサー（財産評価）	taxanswer	29	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_hyoka/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_hyoka.json
taxanswer_inshi	タックスアンサー（印紙税）	taxanswer	30	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_inshi/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_inshi.json
taxanswer_joto	タックスアンサー（譲渡所得）	taxanswer	71	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_joto/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_joto.json
taxanswer_osirase	タックスアンサー（お知らせ）	taxanswer	10	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_osirase/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_osirase.json
taxanswer_saigai	タックスアンサー（災害）	taxanswer	16	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_saigai/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_saigai.json
taxanswer_shohi	タックスアンサー（消費税）	taxanswer	114	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_shohi/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_shohi.json
taxanswer_shotoku	タックスアンサー（所得税）	taxanswer	206	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_shotoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_shotoku.json
taxanswer_sozoku	タックスアンサー（相続税）	taxanswer	52	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_sozoku/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_sozoku.json
taxanswer_zoyo	タックスアンサー（贈与税）	taxanswer	28	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/enhanced/taxanswer_zoyo/index.html	https://yuki0717-hub.github.io/jplawdb-mirror/ai-nta-qa-db/data/resolve_lite/taxanswer_zoyo.json
